Project Name,announcementSummary,title,callTitle,tags,Keywords,Beginning,Deadline,URL
MSCA COFUND 2025,,['MSCA COFUND 2025'],['MSCA COFUND 2025'],[],"['HORIZON-MSCA-2025-COFUND-01-01', 'HORIZON-MSCA-2025-COFUND-01', 'PhD', 'Doctoral', 'post-doc', 'postdoctoral', 'R&I', 'interdisciplinary', 'mobility', 'innovation']",23 01 2025,24 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-msca-2025-cofund-01-01
EIC Accelerator 2025 - Short application,,['EIC Accelerator 2025 - Short application'],['EIC Accelerator 2025 - Short application'],['STEP-Digital/deep tech'],"['HORIZON-EIC-2025-ACCELERATOR-01', 'HORIZON-EIC-2025-ACCELERATOR-01', 'deep tech', 'patient capital', 'research', 'innovation', 'technology', 'EIC']",29 10 2024,18 12 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-accelerator-01
MSCA Staff Exchanges 2025,,['MSCA Staff Exchanges 2025'],['MSCA Staff Exchanges 2025'],[],"['HORIZON-MSCA-2025-SE-01-01', 'HORIZON-MSCA-2025-SE-01', 'PhD', 'Doctoral', 'post-doc', 'postdoctoral', 'R&I', 'interdisciplinary', 'mobility', 'innovation']",27 03 2025,08 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-msca-2025-se-01-01
SOPRANO Open Call - Industry Demonstrators of the SOPRANO Technologies,['Socially-Acceptable and Trustworthy Human-Robot Teaming for Agile Industries'],"['Increased robotics capabilities demonstrated in key sectors (AI, Data and Robotics Partnership) (IA)']",['SOPRANO Open Call - Industry Demonstrators of the SOPRANO Technologies\n'],,[],13 03 2025,20 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10373
EIC Pathfinder Open,,['EIC Pathfinder Open'],['EIC Pathfinder 2025'],"['PATHFINDER', 'PATHFINDER OPEN', 'PATHFINDEROPEN']","['HORIZON-EIC-2025-PATHFINDEROPEN', 'HORIZON-EIC-2025-PATHFINDEROPEN', 'deep tech', 'patient capital', 'research', 'innovation', 'technology', 'EIC']",20 02 2025,21 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-pathfinderopen
EIC STEP Scale Up,,['EIC STEP Scale Up'],['EIC STEP Scale Up'],"['STEP-Biotech', 'STEP-Digital/deep tech', 'STEP-Cleantech']","['HORIZON-EIC-2025-EICSTEP-01', 'HORIZON-EIC-2025-EICSTEP-01', 'deep tech', 'patient capital', 'research', 'innovation', 'technology', 'EIC']",26 11 2024,16 12 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-eicstep-01
Ground Test Demonstration and Preparation of Flight Test of an Ultra High Bypass Ratio Ducted Geared Turbofan Engine for SMR Aircraft,,['Ground Test Demonstration and Preparation of Flight Test of an Ultra High Bypass Ratio Ducted Geared Turbofan Engine for SMR Aircraft'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-SMR-01', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-smr-01
"Demonstration of a Hybrid-Electric Propulsion System for Regional aircraft, including Pylon and Nacelle Integration and modification",,"['Demonstration of a Hybrid-Electric Propulsion System for Regional aircraft, including Pylon and Nacelle Integration and modification']",['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-REG-01', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-reg-01
Ground Test Demonstration up to TRL5 of On-Board NPE Systems Architecture for SMR Aircraft,,['Ground Test Demonstration up to TRL5 of On-Board NPE Systems Architecture for SMR Aircraft'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-SMR-03', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-smr-03
Demonstration of On-board Systems relevant for hybridization of Regional aircraft,,['Demonstration of On-board Systems relevant for hybridization of Regional aircraft'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-REG-02', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-reg-02
Flight Test Demonstration of an Unducted Engine Architecture for SMR Aircraft,,['Flight Test Demonstration of an Unducted Engine Architecture for SMR Aircraft'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-SMR-02', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-smr-02
Flight Test Demonstration of Hybrid-Electric Propulsion for Regional aircraft,,['Flight Test Demonstration of Hybrid-Electric Propulsion for Regional aircraft'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-REG-03', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-reg-03
Aircraft concept and key technologies integration and impact assessment,,['Aircraft concept and key technologies integration and impact assessment'],['Clean Aviation CfP 03'],[],"['HORIZON-JU-CLEAN-AVIATION-2025-03-ACI-01', 'HORIZON-JU-Clean-Aviation-2025-01']",27 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-clean-aviation-2025-03-aci-01
Women Tech.EU initiative,,['Women Tech.EU initiative'],['Women Tech.EU initiative'],['Women TechEU'],"['HORIZON-EIC-2025-WOMENTECH', 'HORIZON-EIC-2025-WOMENTECH', 'Angel investment', 'Business coaching and mentoring', 'Business development', 'Business models', 'Business plan', 'Business strategies', 'Entrepreneurship', 'Gender in innovation development', 'Incubator companies', 'Innovation and diversity (e.g. gender)', 'Private equity', 'Related to SME and start-up support', 'SME support', 'Seed capital', 'Spin-off companies', 'Start-up companies']",01 04 2025,02 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-womentech
Circular-by-design fibre-based packaging with improved properties,,['Circular-by-design fibre-based packaging with improved properties'],['Circular Bio-based Europe Joint Undertaking'],"['additives', 'adhesives', 'bio-based packaging', 'circular bioeconomy', 'circular packaging', 'circularity', 'coatings', 'fibre-based packaging', 'packaging', 'packaging materials', 'packaging recycling', 'safe-and-sustainable-by-design', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IAFlag-03', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Composites (including laminates, reinforced plastics, cermets, combined natural and synthetic fibre fabrics filled composites)', 'Materials engineering', 'Materials engineering (biomaterials, metals, ceramics, polymers, composites, etc.)', 'Polymers and plastics']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-iaflag-03
Valorisation of untapped forest biomass,,['Valorisation of untapped forest biomass'],['Circular Bio-based Europe Joint Undertaking'],"['agro-forestry', 'bio-based chemicals', 'bio-based materials', 'forest', 'forest biomass', 'forest management', 'forest restoration', 'logistics', 'non-wood', 'wood']","['HORIZON-JU-CBE-2025-RIA-01', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Forest adaptation to climate change', 'Forestry', 'Forestry, biomass production (e.g. for biofuels)', 'Non-wood forest products']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ria-01
Urban-industrial symbiosis for bio-waste valorisation,,['Urban-industrial symbiosis for bio-waste valorisation'],['Circular Bio-based Europe Joint Undertaking'],"['bio-based products', 'bio-waste', 'biorefinery', 'circular bioeconomy', 'logistics', 'safe-and-sustainable-by-design', 'urban-industrial symbiosis', 'waste collection', 'waste management', 'waste prevention', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IAFlag-01', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Civil engineering, maritime/hydraulic engineering, geotechnics, waste treatment', 'Industrial biotechnology', 'Urban waste', 'Waste management']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-iaflag-01
Develop and deploy new curricula and knowledge exchange practices relevant to bio-based systems,,['Develop and deploy new curricula and knowledge exchange practices relevant to bio-based systems'],['Circular Bio-based Europe Joint Undertaking'],"['abilities', 'ability', 'capabilities', 'capability', 'competence', 'competencies', 'competency', 'expertise', 'qualitifcation']","['HORIZON-JU-CBE-2025-CSA-01', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Education: systems and institutions, teaching and learning', 'Knowledge and Technology transfer', 'Knowledge infrastructure']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-csa-01
"Bio-based drop-ins/smart drop-in platform chemicals, via cost-effective, sustainable and resource-efficient conversion of biomass",,"['Bio-based drop-ins/smart drop-in platform chemicals, via cost-effective, sustainable and resource-efficient conversion of biomass']",['Circular Bio-based Europe Joint Undertaking'],"['bio-based chemicals', 'bio-based drop-in platform chemicals', 'bio-based products', 'bioconversion', 'biorefinery', 'safe-and-sustainable-by-design', 'sustainability', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IAFlag-02', 'HORIZON-JU-CBE-2025', 'Applied and industrial chemistry', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Bioprocessing technologies (industrial processes relying on biological agents to drive the process) biocatalysis, fermentation', 'Industrial bioengineering', 'Industrial biotechnology']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-iaflag-02
Alternative biomanufacturing routes for natural and synthetic rubber,,['Alternative biomanufacturing routes for natural and synthetic rubber'],['Circular Bio-based Europe Joint Undertaking'],"['bio-based products', 'bio-based synthetic rubber', 'biomanufacturing', 'elastomers', 'isoprenoids', 'natural rubber', 'plant genetics', 'rubber']","['HORIZON-JU-CBE-2025-RIA-03', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Bioprocessing technologies (industrial processes relying on biological agents to drive the process) biocatalysis, fermentation', 'Plant genetic resources']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ria-03
Retrofitting of (bio)refineries industrial plants towards higher-value bio-based products,,['Retrofitting of (bio)refineries industrial plants towards higher-value bio-based products'],['Circular Bio-based Europe Joint Undertaking'],"['bio-based chemicals', 'bio-based materials', 'bio-based products', 'biomass conversion', 'biomass supply and logistics', 'biorefinery', 'cascading use of biomass', 'industrial plant', 'industrial reconversion', 'retrofitting', 'secondary biomass', 'sustainability', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IAFlag-04', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Bioprocessing technologies (industrial processes relying on biological agents to drive the process) biocatalysis, fermentation', 'Industrial biotechnology', 'Industrial sectoral change']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-iaflag-04
"Sustainable macroalgae systems for innovative, added-value applications: cultivation and optimised production systems",,"['Sustainable macroalgae systems for innovative, added-value applications: cultivation and optimised production systems']",['Circular Bio-based Europe Joint Undertaking'],"['algaculture', 'aquaculture', 'aquafarming', 'benthic', 'freshwater', 'kelp', 'mariculture', 'seaweed', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IA-01', 'HORIZON-JU-CBE-2025', 'Aquaculture, fisheries', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Chemical engineering (plants, products)', 'Environment, fisheries and aquaculture interactions']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ia-01
Scaling-up nutritional proteins from alternative sources,,['Scaling-up nutritional proteins from alternative sources'],['Circular Bio-based Europe Joint Undertaking'],"['amino acid', 'diet', 'feedstuff', 'fishmeal', 'hydrolysate', 'insect', 'livestock', 'meal', 'nourishment', 'poultry', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IA-03', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Bioprocessing technologies (industrial processes relying on biological agents to drive the process) biocatalysis, fermentation', 'Feed additives', 'Food and drink processing', 'Nutrition, Dietetics']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ia-03
SSbD bio-based solutions to replace hazardous conventional chemicals for textiles production,,['SSbD bio-based solutions to replace hazardous conventional chemicals for textiles production'],['Circular Bio-based Europe Joint Undertaking'],"['clothe', 'clothing', 'dyeing', 'fashion', 'fiber', 'fibre', 'yarn', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IA-02', 'HORIZON-JU-CBE-2025', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Chemical engineering (plants, products)', 'Textile plants', 'Textiles including synthetic dyes, colours, fibres']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ia-02
Bio-based and biodegradable delivery systems for fertilising products to reduce microplastics pollution &amp; promote soil health,,['Bio-based and biodegradable delivery systems for fertilising products to reduce microplastics pollution & promote soil health'],['Circular Bio-based Europe Joint Undertaking'],"['agriculture', 'bio-based bio-degradable polymers', 'bio-based fertilisers', 'bio-degradable delivery system', 'bio-degradable plastics', 'farmers', 'fertilisation', 'microplastics', 'soil health']","['HORIZON-JU-CBE-2025-RIA-02', 'HORIZON-JU-CBE-2025', 'Agriculture related to crop production, soil biology and cultivation, applied plant biology', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Fertilisation', 'Fertiliser application equipment']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ria-02
Cost-effective and robust continuous biotech bio-based processes,,['Cost-effective and robust continuous biotech bio-based processes'],['Circular Bio-based Europe Joint Undertaking'],"['bioreactor', 'fermentation', 'flow', 'membrane', 'micro-organism', 'microorganism', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IA-04', 'HORIZON-JU-CBE-2025', 'Applied biotechnology (non-medical), bioreactors, applied microbiology', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Bioprocessing technologies (industrial processes relying on biological agents to drive the process) biocatalysis, fermentation', 'Industrial biotechnology']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ia-04
SSbD bio-based polymers/copolymers unlocking new market applications,,['SSbD bio-based polymers/copolymers unlocking new market applications'],['Circular Bio-based Europe Joint Undertaking'],"['bio-polymer', 'biopolymer', 'cellulose', 'chitin', 'fiber', 'starch', 'sugar', 'STEP-Biotech']","['HORIZON-JU-CBE-2025-IA-05', 'HORIZON-JU-CBE-2025', 'Applied and industrial chemistry', 'Bio-based products (products that are manufactured using biological material as feedstock) bio-based materials, bio-based plastics, biofuels, bio-based and bio-derived bulk and fine chemicals, bio-based and bio-derived novel materials', 'Materials engineering (biomaterials, metals, ceramics, polymers, composites, etc.)', 'Polymer chemistry', 'Polymers and plastics']",03 04 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-cbe-2025-ia-05
Further Technological development of Maglev-derived Systems,,['Further Technological development of Maglev-derived Systems'],['EU-RAIL JU Call Proposals 2025-01'],"['Configuration design development', 'Linear motor', 'Maglev', 'Maglev-derived system', 'Magnetic levitation', 'Rail-guided system', 'Testing and validation']","['HORIZON-ER-JU-2025-FA7-01', 'HORIZON-JU-ER-2025-01', 'Disruptive innovation', 'Power supply', 'Railway', 'Sustainable transport']",26 02 2025,07 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-er-ju-2025-fa7-01
International Collaboration on AI Factories and HPC-AI,,['International Collaboration on AI Factories and HPC-AI'],['EuroHPC International Cooperation'],"['AI', 'AI Factories', 'Collaboration', 'HPC', 'HPC-AI', 'TPC', 'Trillion Parameter Consortium']","['HORIZON-JU-EUROHPC-2025-INCO-01', 'HORIZON-JU-EUROHPC-2025-INCO-01', 'Artificial Intelligence & Decision support', 'Artificial intelligence', 'High performance computing', 'International']",04 03 2025,04 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-eurohpc-2025-inco-01
Innovation Schemes Second Call for Proposals (oc1-2025-TIS-01),['ENFIELD: European Lighthouse to Manifest Trustworthy and Green AI'],['European Network of AI Excellence Centres: Expanding the European AI lighthouse (RIA)'],['Innovation Schemes Second Call for Proposals (oc1-2025-TIS-01)'],,['Innovation'],17 04 2025,17 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10521
Mediterranean Sea Lighthouse Call,['TIDAL ArtS: TransformIng anD inspiring Aquatic Landscapes through Art and Sciences'],['Ocean & water and arts: the contribution of creative sectors to Mission Ocean and waters'],['Mediterranean Sea Lighthouse Call'],,[],14 04 2025,15 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10626
Baltic - North Sea Lighthouse Call,['TIDAL ArtS: TransformIng anD inspiring Aquatic Landscapes through Art and Sciences'],['Ocean & water and arts: the contribution of creative sectors to Mission Ocean and waters'],['Baltic - North Sea Lighthouse Call'],,[],14 04 2025,15 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10625
Sailing towards ocean and water literacy with school communities,['SHORE: EmpOweR Students as the agents of cHangE'],['Student and school activities for the promotion of education on ‘blue’ sustainability and the protection of marine and freshwater ecosystems'],['Sailing towards ocean and water literacy with school communities'],,[],22 04 2025,30 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10682
EIC Transition Open,,['EIC Transition Open'],['EIC Transition 2025'],[],"['HORIZON-EIC-2025-TRANSITIONOPEN', 'HORIZON-EIC-2025-TRANSITIONOPEN', 'deep tech', 'patient capital', 'research', 'innovation', 'technology', 'EIC', 'Technology', 'business', 'market', 'commercial']",22 04 2025,17 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-transitionopen
2nd SMURF open call for small forest owners’ organisations.,['Sustainable Management models and valUe chains foR small Forests'],['Optimising the sustainable production of wood and non-wood products in small forest properties and development of new forest-based value chains'],['2nd SMURF open call for small forest owners’ organisations.'],,[],09 04 2025,02 07 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10221
PEDvolution Open Call for Demonstrators: Positive Energy Districts (PEDs),['Interoperable solutions to streamline PED evolution and cross-sectoral integration'],"['Interoperable solutions for positive energy districts (PEDs), including a better integration of local renewables and local excess heat sources']",['PEDvolution Open Call for Demonstrators: Positive Energy Districts (PEDs)'],,[],01 05 2025,01 07 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10741
Q2Scale Programme 2025 – for MVP+ startups in Automotive &amp; Fintech,['Cross-KIC Global Outreach'],['EIT Cross-KIC Strategic Outreach'],['Q2Scale Programme 2025 – for MVP+ startups in Automotive & Fintech'],,[],01 05 2025,06 07 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10841
NGI Fediversity open call (2025-08F),['Fediversity'],['Pilots for the Next Generation Internet (IA)'],['NGI Fediversity open call (2025-08F)'],,[],01 06 2025,01 08 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10464
NGI Zero Commons Fund (2025-08Z),"['Create, mature and grow internet commons']",['Next Generation Internet Fund (RIA)'],['NGI Zero Commons Fund (2025-08Z)'],,[],01 06 2025,01 08 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10462
European Researchers' Night and Researchers at Schools 2026-2027,,"[""European Researchers' Night and Researchers at Schools 2026-2027""]",['MSCA and Citizens 2025'],[],"['HORIZON-MSCA-2025-CITIZENS-01-01', 'HORIZON-MSCA-2025-CITIZENS-01', 'sustainable', 'eco', 'ecosystem', 'urban', 'society', 'climate change', 'EU Missions', 'Research', 'academia']",17 06 2025,22 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-msca-2025-citizens-01-01
"Waste-to-value devices - circular production of renewable fuels, chemicals and materials",,"['Waste-to-value devices - circular production of renewable fuels, chemicals and materials']",['EIC Pathfinder Challenges 2025'],"['CHALLENGES', 'Circular economy', 'PATHFINDER', 'PATHFINDER CHALLENGES', 'PATHFINDERCHALLENGES', 'bioremediation', 'bottom-up synthetic biology', 'carbon capture and utilization', 'climate change mitigation', 'computational material science', 'critical raw materials', 'desalination brines', 'electricity', 'electrochemistry', 'fossil-free chemicals', 'hydrogen', 'microplastics', 'photocatalysis', 'plastic waste recycling', 'renewable energy', 'renewable fuels', 'renewable fuels of non-biologic origin', 'solar', 'solar reforming', 'sustainable aviation fuels', 'synthetic biology', 'synthetic polymers', 'waste valorization', 'waste water', 'waste-to-value devices']","['HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-04', 'HORIZON-EIC-2025-PATHFINDERCHALLENGES-01']",24 07 2025,29 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-pathfinderchallenges-01-04
Towards autonomous robot collectives delivering collaborative tasks in dynamic unstructured construction environments,,['Towards autonomous robot collectives delivering collaborative tasks in dynamic unstructured construction environments'],['EIC Pathfinder Challenges 2025'],"['AI', 'Automation', 'Autonomy', 'Building', 'Building blocks', 'CHALLENGES', 'Collaborative', 'Field robotics', 'Housing', 'Infrastructure', 'Modular', 'NRMM', 'Non road mobile machinery', 'Off highway equipment', 'PATHFINDER', 'PATHFINDER CHALLENGES', 'PATHFINDERCHALLENGES', 'Productivity', 'autonomous', 'collectives', 'construction', 'robotics', 'service robotics', 'swarm']","['HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-03', 'HORIZON-EIC-2025-PATHFINDERCHALLENGES-01']",24 07 2025,29 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-pathfinderchallenges-01-03
Generative-AI based Agents to Revolutionize Medical Diagnosis and Treatment of Cancer,,['Generative-AI based Agents to Revolutionize Medical Diagnosis and Treatment of Cancer'],['EIC Pathfinder Challenges 2025'],"['CHALLENGES', 'PATHFINDER', 'PATHFINDER CHALLENGES', 'PATHFINDERCHALLENGES', 'cancer', 'generative-AI', 'medical data']","['HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-02', 'HORIZON-EIC-2025-PATHFINDERCHALLENGES-01']",24 07 2025,29 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-pathfinderchallenges-01-02
Biotech for Climate Resilient Crops and Plant-Based Biomanufacturing,,['Biotech for Climate Resilient Crops and Plant-Based Biomanufacturing'],['EIC Pathfinder Challenges 2025'],"['PATHFINDER', 'PATHFINDER CHALLENGES', 'PATHFINDERCHALLENGES', 'biomanufacturing', 'plant-based']","['HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-01', 'HORIZON-EIC-2025-PATHFINDERCHALLENGES-01']",24 07 2025,29 10 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-pathfinderchallenges-01-01
ERA Fellowships,,['ERA Fellowships'],['ERA Fellowships'],[],"['HORIZON-WIDERA-2025-TALENTS-01-01', 'HORIZON-WIDERA-2025-TALENTS-01', 'R&I', 'innovation', 'technology', 'Widening Countries']",09 04 2025,10 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-widera-2025-talents-01-01
NGI TALER open call (2025-08T),['Taxable Anonymous Libre Electronic Reserves'],['Pilots for the Next Generation Internet (IA)'],['NGI TALER open call (2025-08T)'],,[],01 06 2025,01 08 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10468
MSCA Postdoctoral Fellowships 2025,,['MSCA Postdoctoral Fellowships 2025'],['MSCA Postdoctoral Fellowships 2025'],[],"['HORIZON-MSCA-2025-PF-01-01', 'HORIZON-MSCA-2025-PF', 'PhD', 'Doctoral', 'post-doc', 'postdoctoral', 'R&I', 'interdisciplinary', 'mobility', 'innovation']",09 04 2025,10 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-msca-2025-pf-01-01
Smart Security / Security Services,,['Smart Security / Security Services'],['HORIZON-JU-SNS-2025-01'],"['6g', 'smart networks and services', 'sns']","['HORIZON-JU-SNS-2025-01-STREAM-B-04-01', 'HORIZON-JU-SNS-2025-01', 'Communication engineering and systems telecommunications']",22 05 2025,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-sns-2025-01-stream-b-04-01
